year,color_name,rgb,quantity,color_info
1993,Chrome Gold,BBA53D,56,Chrome Gold (BBA53D)
1993,Chrome Silver,E0E0E0,1,Chrome Silver (E0E0E0)
1993,Dark Gray,6D6E5C,187,Dark Gray (6D6E5C)
1993,Duplo Pink,FF879C,33,Duplo Pink (FF879C)
1993,Earth Orange,FA9C1C,5,Earth Orange (FA9C1C)
1993,Glow In Dark Opaque,D4D5C9,5,Glow In Dark Opaque (D4D5C9)
1993,Green,237841,315,Green (237841)
1993,Light Gray,9BA19D,2697,Light Gray (9BA19D)
1993,Light Green,C2DAB8,15,Light Green (C2DAB8)
1993,Light Pink,FECCCF,72,Light Pink (FECCCF)
1993,Light Yellow,FBE696,1,Light Yellow (FBE696)
1993,Maersk Blue,3592C3,3,Maersk Blue (3592C3)
1993,Nougat,D09168,1,Nougat (D09168)
1993,Red,C91A09,2115,Red (C91A09)
1993,Trans-Clear,FCFCFC,183,Trans-Clear (FCFCFC)
1993,Trans-Dark Blue,0020A0,47,Trans-Dark Blue (0020A0)
1993,Trans-Green,84B68D,51,Trans-Green (84B68D)
1993,Trans-Light Blue,AEEFEC,88,Trans-Light Blue (AEEFEC)
1993,Trans-Neon Green,F8F184,17,Trans-Neon Green (F8F184)
1993,Trans-Neon Orange,FF800D,163,Trans-Neon Orange (FF800D)
1993,Trans-Red,C91A09,140,Trans-Red (C91A09)
1993,Trans-Yellow,F5CD2F,141,Trans-Yellow (F5CD2F)
1993,White,FFFFFF,2905,White (FFFFFF)
1993,Yellow,F2CD37,1414,Yellow (F2CD37)
1993,[No Color/Any Color],05131D,40,[No Color/Any Color] (05131D)
1994,Black,05131D,4546,Black (05131D)
1994,Blue,0055BF,1030,Blue (0055BF)
1994,Brown,583927,176,Brown (583927)
