year,color_name,rgb,quantity,color_info
1972,Milky White,FFFFFF,18,Milky White (FFFFFF)
1972,Red,C91A09,1063,Red (C91A09)
1972,Trans-Clear,FCFCFC,75,Trans-Clear (FCFCFC)
1972,White,FFFFFF,649,White (FFFFFF)
1972,Yellow,F2CD37,594,Yellow (F2CD37)
1972,[No Color/Any Color],05131D,15,[No Color/Any Color] (05131D)
1973,Black,05131D,991,Black (05131D)
1973,Blue,0055BF,1087,Blue (0055BF)
1973,Green,237841,54,Green (237841)
1973,Light Gray,9BA19D,107,Light Gray (9BA19D)
1973,Milky White,FFFFFF,2,Milky White (FFFFFF)
1973,Red,C91A09,2198,Red (C91A09)
1973,Trans-Clear,FCFCFC,216,Trans-Clear (FCFCFC)
1973,White,FFFFFF,1662,White (FFFFFF)
1973,Yellow,F2CD37,882,Yellow (F2CD37)
1973,[No Color/Any Color],05131D,18,[No Color/Any Color] (05131D)
1974,Black,05131D,770,Black (05131D)
1974,Blue,0055BF,494,Blue (0055BF)
1974,Brown,583927,6,Brown (583927)
1974,Green,237841,9,Green (237841)
1974,Light Gray,9BA19D,210,Light Gray (9BA19D)
1974,Maersk Blue,3592C3,7,Maersk Blue (3592C3)
1974,Metal,A5ADB4,15,Metal (A5ADB4)
1974,Milky White,FFFFFF,29,Milky White (FFFFFF)
1974,Red,C91A09,977,Red (C91A09)
1974,Trans-Clear,FCFCFC,147,Trans-Clear (FCFCFC)
1974,White,FFFFFF,794,White (FFFFFF)
1974,Yellow,F2CD37,573,Yellow (F2CD37)
1974,[No Color/Any Color],05131D,15,[No Color/Any Color] (05131D)
1975,Black,05131D,1197,Black (05131D)
1975,Blue,0055BF,998,Blue (0055BF)
1975,Brown,583927,7,Brown (583927)
1975,Green,237841,37,Green (237841)
1975,Light Gray,9BA19D,119,Light Gray (9BA19D)
1975,Milky White,FFFFFF,10,Milky White (FFFFFF)
1975,Red,C91A09,1538,Red (C91A09)
1975,Trans-Clear,FCFCFC,155,Trans-Clear (FCFCFC)
1975,White,FFFFFF,492,White (FFFFFF)
1975,Yellow,F2CD37,826,Yellow (F2CD37)
1975,[No Color/Any Color],05131D,14,[No Color/Any Color] (05131D)
1976,Black,05131D,2501,Black (05131D)
1976,Blue,0055BF,1712,Blue (0055BF)
1976,Brown,583927,11,Brown (583927)
1976,Green,237841,77,Green (237841)
1976,Light Gray,9BA19D,288,Light Gray (9BA19D)
1976,Milky White,FFFFFF,34,Milky White (FFFFFF)
1976,Red,C91A09,2351,Red (C91A09)
1976,Trans-Clear,FCFCFC,253,Trans-Clear (FCFCFC)
1976,Trans-Red,C91A09,2,Trans-Red (C91A09)
1976,White,FFFFFF,1892,White (FFFFFF)
1976,Yellow,F2CD37,1544,Yellow (F2CD37)
1976,[No Color/Any Color],05131D,23,[No Color/Any Color] (05131D)
1977,Black,05131D,1739,Black (05131D)
1977,Blue,0055BF,1291,Blue (0055BF)
1977,Brown,583927,6,Brown (583927)
1977,Chrome Silver,E0E0E0,2,Chrome Silver (E0E0E0)
1977,Green,237841,45,Green (237841)
1977,Light Gray,9BA19D,745,Light Gray (9BA19D)
1977,Milky White,FFFFFF,19,Milky White (FFFFFF)
1977,Red,C91A09,1803,Red (C91A09)
1977,Trans-Clear,FCFCFC,405,Trans-Clear (FCFCFC)
1977,White,FFFFFF,1059,White (FFFFFF)
1977,Yellow,F2CD37,1567,Yellow (F2CD37)
1977,[No Color/Any Color],05131D,16,[No Color/Any Color] (05131D)
1978,Black,05131D,2151,Black (05131D)
1978,Blue,0055BF,798,Blue (0055BF)
1978,Brown,583927,36,Brown (583927)
1978,Dark Gray,6D6E5C,8,Dark Gray (6D6E5C)
1978,Green,237841,104,Green (237841)
1978,Light Gray,9BA19D,1249,Light Gray (9BA19D)
1978,Milky White,FFFFFF,5,Milky White (FFFFFF)
1978,Red,C91A09,2398,Red (C91A09)
1978,Trans-Clear,FCFCFC,217,Trans-Clear (FCFCFC)
1978,Trans-Dark Blue,0020A0,19,Trans-Dark Blue (0020A0)
1978,Trans-Green,84B68D,11,Trans-Green (84B68D)
1978,Trans-Red,C91A09,11,Trans-Red (C91A09)
1978,Trans-Yellow,F5CD2F,4,Trans-Yellow (F5CD2F)
1978,White,FFFFFF,1434,White (FFFFFF)
1978,Yellow,F2CD37,2043,Yellow (F2CD37)
1978,[No Color/Any Color],05131D,52,[No Color/Any Color] (05131D)
1979,Black,05131D,1319,Black (05131D)
1979,Blue,0055BF,1372,Blue (0055BF)
1979,Brown,583927,26,Brown (583927)
1979,Dark Gray,6D6E5C,6,Dark Gray (6D6E5C)
1979,Fabuland Brown,B67B50,1,Fabuland Brown (B67B50)
1979,Fabuland Red,FF8014,1,Fabuland Red (FF8014)
1979,Green,237841,80,Green (237841)
1979,Light Gray,9BA19D,1796,Light Gray (9BA19D)
1979,Nougat,D09168,2,Nougat (D09168)
1979,Red,C91A09,1061,Red (C91A09)
1979,Trans-Clear,FCFCFC,82,Trans-Clear (FCFCFC)
1979,Trans-Dark Blue,0020A0,24,Trans-Dark Blue (0020A0)
1979,Trans-Green,84B68D,36,Trans-Green (84B68D)
1979,Trans-Red,C91A09,84,Trans-Red (C91A09)
1979,Trans-Yellow,F5CD2F,101,Trans-Yellow (F5CD2F)
1979,White,FFFFFF,1052,White (FFFFFF)
1979,Yellow,F2CD37,1523,Yellow (F2CD37)
1979,[No Color/Any Color],05131D,31,[No Color/Any Color] (05131D)
1980,Black,05131D,2843,Black (05131D)
1980,Blue,0055BF,1322,Blue (0055BF)
1980,Brown,583927,14,Brown (583927)
1980,Dark Gray,6D6E5C,247,Dark Gray (6D6E5C)
1980,Fabuland Red,FF8014,1,Fabuland Red (FF8014)
1980,Green,237841,88,Green (237841)
1980,Light Gray,9BA19D,2102,Light Gray (9BA19D)
1980,Maersk Blue,3592C3,115,Maersk Blue (3592C3)
1980,Nougat,D09168,1,Nougat (D09168)
1980,Red,C91A09,1965,Red (C91A09)
1980,Trans-Clear,FCFCFC,174,Trans-Clear (FCFCFC)
1980,Trans-Dark Blue,0020A0,18,Trans-Dark Blue (0020A0)
1980,Trans-Green,84B68D,20,Trans-Green (84B68D)
1980,Trans-Red,C91A09,71,Trans-Red (C91A09)
1980,Trans-Yellow,F5CD2F,84,Trans-Yellow (F5CD2F)
1980,White,FFFFFF,827,White (FFFFFF)
1980,Yellow,F2CD37,1357,Yellow (F2CD37)
1980,[No Color/Any Color],05131D,30,[No Color/Any Color] (05131D)
1981,Black,05131D,1399,Black (05131D)
1981,Blue,0055BF,672,Blue (0055BF)
1981,Brown,583927,10,Brown (583927)
1981,Dark Gray,6D6E5C,41,Dark Gray (6D6E5C)
1981,Green,237841,131,Green (237841)
1981,Light Gray,9BA19D,1186,Light Gray (9BA19D)
1981,Milky White,FFFFFF,2,Milky White (FFFFFF)
1981,Red,C91A09,1416,Red (C91A09)
1981,Trans-Clear,FCFCFC,146,Trans-Clear (FCFCFC)
1981,Trans-Dark Blue,0020A0,31,Trans-Dark Blue (0020A0)
1981,Trans-Green,84B68D,20,Trans-Green (84B68D)
1981,Trans-Red,C91A09,70,Trans-Red (C91A09)
1981,Trans-Yellow,F5CD2F,43,Trans-Yellow (F5CD2F)
1981,White,FFFFFF,1032,White (FFFFFF)
1981,Yellow,F2CD37,1355,Yellow (F2CD37)
1981,[No Color/Any Color],05131D,24,[No Color/Any Color] (05131D)
1982,Black,05131D,1012,Black (05131D)
1982,Blue,0055BF,588,Blue (0055BF)
1982,Brown,583927,20,Brown (583927)
1982,Dark Gray,6D6E5C,11,Dark Gray (6D6E5C)
1982,Earth Orange,FA9C1C,14,Earth Orange (FA9C1C)
1982,Fabuland Brown,B67B50,15,Fabuland Brown (B67B50)
1982,Fabuland Lime,78FC78,2,Fabuland Lime (78FC78)
1982,Green,237841,74,Green (237841)
1982,Light Gray,9BA19D,714,Light Gray (9BA19D)
1982,Milky White,FFFFFF,1,Milky White (FFFFFF)
1982,Nougat,D09168,1,Nougat (D09168)
1982,Red,C91A09,994,Red (C91A09)
1982,Tan,E4CD9E,9,Tan (E4CD9E)
1982,Trans-Clear,FCFCFC,54,Trans-Clear (FCFCFC)
1982,Trans-Dark Blue,0020A0,4,Trans-Dark Blue (0020A0)
1982,Trans-Green,84B68D,9,Trans-Green (84B68D)
1982,Trans-Red,C91A09,37,Trans-Red (C91A09)
1982,Trans-Yellow,F5CD2F,35,Trans-Yellow (F5CD2F)
1982,White,FFFFFF,957,White (FFFFFF)
1982,Yellow,F2CD37,928,Yellow (F2CD37)
1982,[No Color/Any Color],05131D,21,[No Color/Any Color] (05131D)
1983,Black,05131D,1675,Black (05131D)
1983,Blue,0055BF,676,Blue (0055BF)
1983,Brown,583927,9,Brown (583927)
1983,Dark Gray,6D6E5C,72,Dark Gray (6D6E5C)
1983,Earth Orange,FA9C1C,1,Earth Orange (FA9C1C)
1983,Fabuland Brown,B67B50,2,Fabuland Brown (B67B50)
1983,Fabuland Orange,EF9121,1,Fabuland Orange (EF9121)
1983,Green,237841,65,Green (237841)
1983,Light Gray,9BA19D,1070,Light Gray (9BA19D)
1983,Red,C91A09,1015,Red (C91A09)
1983,Trans-Clear,FCFCFC,127,Trans-Clear (FCFCFC)
1983,Trans-Dark Blue,0020A0,26,Trans-Dark Blue (0020A0)
1983,Trans-Green,84B68D,21,Trans-Green (84B68D)
1983,Trans-Red,C91A09,90,Trans-Red (C91A09)
1983,Trans-Yellow,F5CD2F,36,Trans-Yellow (F5CD2F)
1983,White,FFFFFF,1118,White (FFFFFF)
1983,Yellow,F2CD37,635,Yellow (F2CD37)
1983,[No Color/Any Color],05131D,34,[No Color/Any Color] (05131D)
1984,Black,05131D,1849,Black (05131D)
1984,Blue,0055BF,1031,Blue (0055BF)
1984,Brown,583927,54,Brown (583927)
1984,Dark Gray,6D6E5C,37,Dark Gray (6D6E5C)
1984,Earth Orange,FA9C1C,1,Earth Orange (FA9C1C)
1984,Fabuland Brown,B67B50,4,Fabuland Brown (B67B50)
1984,Green,237841,82,Green (237841)
1984,Light Gray,9BA19D,1489,Light Gray (9BA19D)
1984,Red,C91A09,749,Red (C91A09)
1984,Trans-Clear,FCFCFC,90,Trans-Clear (FCFCFC)
1984,Trans-Dark Blue,0020A0,8,Trans-Dark Blue (0020A0)
1984,Trans-Green,84B68D,19,Trans-Green (84B68D)
1984,Trans-Red,C91A09,113,Trans-Red (C91A09)
1984,Trans-Yellow,F5CD2F,87,Trans-Yellow (F5CD2F)
1984,White,FFFFFF,562,White (FFFFFF)
1984,Yellow,F2CD37,889,Yellow (F2CD37)
1984,[No Color/Any Color],05131D,11,[No Color/Any Color] (05131D)
1985,Black,05131D,3778,Black (05131D)
1985,Blue,0055BF,2125,Blue (0055BF)
1985,Brown,583927,67,Brown (583927)
1985,Dark Gray,6D6E5C,173,Dark Gray (6D6E5C)
1985,Earth Orange,FA9C1C,3,Earth Orange (FA9C1C)
1985,Fabuland Brown,B67B50,9,Fabuland Brown (B67B50)
1985,Fabuland Lime,78FC78,1,Fabuland Lime (78FC78)
1985,Fabuland Red,FF8014,5,Fabuland Red (FF8014)
1985,Green,237841,262,Green (237841)
1985,Light Gray,9BA19D,2416,Light Gray (9BA19D)
1985,Maersk Blue,3592C3,132,Maersk Blue (3592C3)
1985,Milky White,FFFFFF,3,Milky White (FFFFFF)
1985,Nougat,D09168,5,Nougat (D09168)
1985,Red,C91A09,3673,Red (C91A09)
1985,Royal Blue,4C61DB,1,Royal Blue (4C61DB)
1985,Trans-Clear,FCFCFC,392,Trans-Clear (FCFCFC)
1985,Trans-Dark Blue,0020A0,34,Trans-Dark Blue (0020A0)
1985,Trans-Green,84B68D,34,Trans-Green (84B68D)
1985,Trans-Light Blue,AEEFEC,39,Trans-Light Blue (AEEFEC)
1985,Trans-Red,C91A09,193,Trans-Red (C91A09)
1985,Trans-Yellow,F5CD2F,109,Trans-Yellow (F5CD2F)
1985,White,FFFFFF,2163,White (FFFFFF)
1985,Yellow,F2CD37,1957,Yellow (F2CD37)
1985,[No Color/Any Color],05131D,119,[No Color/Any Color] (05131D)
1986,Black,05131D,3345,Black (05131D)
1986,Blue,0055BF,1523,Blue (0055BF)
1986,Brown,583927,79,Brown (583927)
1986,Dark Gray,6D6E5C,22,Dark Gray (6D6E5C)
1986,Earth Orange,FA9C1C,1,Earth Orange (FA9C1C)
1986,Fabuland Brown,B67B50,5,Fabuland Brown (B67B50)
1986,Fabuland Lime,78FC78,13,Fabuland Lime (78FC78)
1986,Fabuland Red,FF8014,8,Fabuland Red (FF8014)
1986,Green,237841,194,Green (237841)
1986,Light Gray,9BA19D,2821,Light Gray (9BA19D)
1986,Maersk Blue,3592C3,18,Maersk Blue (3592C3)
1986,Nougat,D09168,5,Nougat (D09168)
1986,Red,C91A09,2143,Red (C91A09)
1986,Tan,E4CD9E,19,Tan (E4CD9E)
1986,Trans-Clear,FCFCFC,131,Trans-Clear (FCFCFC)
1986,Trans-Dark Blue,0020A0,26,Trans-Dark Blue (0020A0)
1986,Trans-Green,84B68D,44,Trans-Green (84B68D)
1986,Trans-Light Blue,AEEFEC,17,Trans-Light Blue (AEEFEC)
1986,Trans-Red,C91A09,222,Trans-Red (C91A09)
1986,Trans-Yellow,F5CD2F,139,Trans-Yellow (F5CD2F)
1986,White,FFFFFF,2550,White (FFFFFF)
1986,Yellow,F2CD37,1686,Yellow (F2CD37)
1986,[No Color/Any Color],05131D,42,[No Color/Any Color] (05131D)
1987,Black,05131D,3581,Black (05131D)
1987,Blue,0055BF,1669,Blue (0055BF)
1987,Brown,583927,63,Brown (583927)
